threshold,automated_tickets,review_tickets,automation_rate,automation_accuracy
0.5,5374,1,0.9998139534883721,0.9994417566058802
0.6,5372,3,0.9994418604651163,0.9996276991809382
0.7,5372,3,0.9994418604651163,0.9996276991809382
0.8,5363,12,0.9977674418604651,0.9996270743986575
0.85,5357,18,0.9966511627906977,0.9996266567108456
0.9,5346,29,0.9946046511627907,0.9998129442573886
0.92,5338,37,0.9931162790697674,1.0
0.93,5332,43,0.992,1.0
0.94,5326,49,0.9908837209302326,1.0
0.95,5321,54,0.9899534883720931,1.0
0.96,5312,63,0.9882790697674418,1.0
0.97,5296,79,0.9853023255813953,1.0
0.98,5262,113,0.9789767441860465,1.0
0.99,4921,454,0.9155348837209303,1.0
